race_id,axis_name,axis_pop,axis_style,pace_label,n_field,axis_score,gap_1_3,axis_pace_fit,pace_style_match,p_win,p_place,actual_rank,hit_win,hit_place
202507040309,アメリカンビキニ,1,逃げ,ミドルハイ,16,0.7041,0.1208,0.6509,1,0.1592,0.2906,2,0,1
202507050309,タイセイフレッサ,3,差し,スロー,11,0.6396,0.1676,0.5383,0,0.0831,0.2904,7,0,0
202610010504,セキテイオー,10,追い込み,スロー,11,0.5608,0.0201,0.3001,0,0.1069,0.2904,7,0,0
202501010102,エンジェルラダー,1,逃げ,ミドルスロー,12,0.6846,0.0908,0.6161,1,0.1070,0.2902,1,1,1
202507010309,ブリタニア,3,追い込み,スロー,13,0.6118,0.0358,0.3826,0,0.1142,0.2901,2,0,1
202509010208,ブリックワーク,3,先行,スロー,14,0.6272,0.0220,0.6756,1,0.1002,0.2901,1,1,1
202508020906,エイプリルインパリ,5,先行,ハイ,9,0.6760,0.3526,0.6489,0,0.0954,0.2900,2,0,1
202507050204,トライアンフパス,1,差し,スロー,14,0.6911,0.2642,0.5713,0,0.1010,0.2900,1,1,1
202606020407,アグネスクレスト,10,先行,スロー,11,0.6239,0.0654,0.5545,1,0.1006,0.2899,10,0,0
202609010512,アイファーモービル,5,追い込み,ミドルハイ,16,0.6897,0.0820,0.6250,0,0.1407,0.2899,9,0,0
202507020212,クレイヴィンオナー,4,追い込み,ミドルハイ,16,0.7097,0.1244,0.6098,0,0.1303,0.2898,1,1,1
202505040606,キョウエイフロイデ,5,追い込み,ミドル,15,0.6840,0.0094,0.5597,0,0.1092,0.2897,6,0,0
202507020408,ダイオジェナイト,3,差し,ミドル,16,0.6824,0.0721,0.5214,0,0.1014,0.2896,7,0,0
202508030508,オーレアミスト,3,差し,ミドル,13,0.6266,0.0288,0.5444,0,0.0943,0.2895,3,0,1
202508010710,ブルースピリット,16,追い込み,ミドル,16,0.6831,0.0665,0.4152,0,0.1250,0.2893,16,0,0
202502010702,エンジェルラダー,1,逃げ,ミドル,12,0.6818,0.0875,0.5727,1,0.1164,0.2891,2,0,1
202503020707,ノーブルライナー,1,差し,スロー,16,0.6557,0.0243,0.5737,0,0.0823,0.2891,6,0,0
202507010805,ゼンダンハヤブサ,3,先行,スロー,18,0.7171,0.3504,0.6228,1,0.1037,0.2890,5,0,0
202504040206,ケーヴァラ,3,差し,ミドル,15,0.6694,0.0493,0.6297,0,0.0984,0.2888,1,1,1
202506010110,モンテシート,10,先行,スロー,15,0.7032,0.1760,0.7191,1,0.1035,0.2887,3,0,1
202503020112,ミダース,9,先行,ミドル,15,0.7115,0.0997,0.6999,1,0.1055,0.2883,4,0,0
202503020308,ショウナンタハティ,2,差し,スロー,16,0.6780,0.0707,0.5006,0,0.0789,0.2883,5,0,0
202509040609,トレチーメ,5,先行,ミドル,16,0.7023,0.0880,0.6701,1,0.1312,0.2883,14,0,0
202610010507,アルディスティーノ,4,逃げ,スロー,18,0.6691,0.0747,0.7586,1,0.1602,0.2883,4,0,0
202502010403,ショウナンラリー,2,先行,ミドル,11,0.6652,0.1666,0.5902,1,0.1001,0.2881,5,0,0
202606010909,ブレナヴォン,1,追い込み,スロー,12,0.6798,0.0961,0.4303,0,0.0912,0.2881,1,1,1
202504020110,チャロ,1,先行,ミドル,14,0.6480,0.0154,0.6539,1,0.1077,0.2880,4,0,0
