horse,dist_course,dc_n,dc_wins,dc_wr
アップデート,2000_芝,2,0,0.0
アップデート,3000_芝,2,0,0.0
アップトゥミー,1800_芝,3,0,0.0
アップトゥミー,2600_芝,1,0,0.0
アップフルーク,1000_ダート,1,0,0.0
アップフルーク,1000_芝,4,0,0.0
アップフルーク,1150_ダート,1,0,0.0
アツキヤマト,1200_ダート,3,0,0.0
アティード,1200_ダート,2,0,0.0
アデランテ,1800_ダート,1,0,0.0
アトミックフレア,1800_芝,3,0,0.0
アトミックフレア,2000_芝,7,1,0.14285714285714285
アトラクティーボ,1600_ダート,1,0,0.0
アトラクティーボ,1700_ダート,2,0,0.0
アトラクティーボ,1800_ダート,3,0,0.0
アトラクティーボ,2400_ダート,3,0,0.0
アトリウムチャペル,1400_芝,1,0,0.0
アトロルーベンス,1800_芝,1,0,0.0
アドアプローズ,1800_ダート,1,0,0.0
アドアプローズ,2500_ダート,1,0,0.0
アドバンスドリーム,1400_ダート,1,0,0.0
アドバンスドリーム,1700_ダート,1,0,0.0
アドバンスファラオ,1200_ダート,1,0,0.0
アドバンスファラオ,1400_ダート,8,3,0.375
アドバンテスロード,1200_ダート,1,0,0.0
アドマイヤアストラ,1600_芝,1,0,0.0
アドマイヤイル,2000_芝,2,1,0.5
アドマイヤクワッズ,1600_芝,1,1,1.0
アドマイヤサジー,2200_芝,2,0,0.0
アドマイヤサジー,2400_芝,2,0,0.0
アドマイヤサジー,2500_芝,5,1,0.2
アドマイヤサジー,2600_芝,3,0,0.0
アドマイヤジェイ,1200_芝,4,0,0.0
アドマイヤジェイ,1400_芝,1,0,0.0
アドマイヤズーム,1400_芝,1,0,0.0
アドマイヤズーム,1600_芝,3,2,0.6666666666666666
アドマイヤソラ,1800_ダート,3,1,0.3333333333333333
アドマイヤソラ,1800_芝,1,1,1.0
アドマイヤソラ,2000_芝,1,0,0.0
アドマイヤテラ,2000_芝,1,0,0.0
アドマイヤテラ,2200_芝,2,1,0.5
アドマイヤテラ,2400_芝,1,0,0.0
アドマイヤテラ,2600_芝,2,1,0.5
アドマイヤテラ,3000_芝,1,0,0.0
アドマイヤデイトナ,1600_ダート,2,0,0.0
アドマイヤハイジ,2600_芝,1,0,0.0
アドマイヤハダル,1800_芝,1,0,0.0
アドマイヤハダル,2000_芝,1,0,0.0
アドマイヤハレー,2000_芝,2,0,0.0
アドマイヤハレー,2200_芝,2,1,0.5
アドマイヤハレー,2500_芝,2,0,0.0
アドマイヤハレー,2600_芝,1,0,0.0
アドマイヤビルゴ,1800_芝,1,0,0.0
アドマイヤビルゴ,2000_芝,1,0,0.0
アドマイヤビルゴ,2500_芝,1,0,0.0
アドマイヤビルゴ,2600_芝,1,0,0.0
アドマイヤベル,1600_芝,1,0,0.0
アドマイヤベル,2000_芝,3,2,0.6666666666666666
アドマイヤベル,2400_芝,1,0,0.0
アドマイヤマツリ,1600_芝,1,0,0.0
アドマイヤマツリ,1800_芝,4,3,0.75
アドマイヤマツリ,2000_芝,1,1,1.0
アドマイヤラヴィ,1000_芝,1,0,0.0
アドマイヤラヴィ,1200_芝,5,0,0.0
アドマイヤルプス,1400_ダート,2,0,0.0
アドミラブルエース,1600_芝,1,0,0.0
アドミラブルエース,2400_芝,1,0,0.0
アドミラルシップ,1800_芝,4,0,0.0
アドミラルシップ,2000_芝,4,0,0.0
アドミラルシップ,2200_芝,1,0,0.0
アドミラルシップ,2400_芝,1,0,0.0
アドヴァイス,1150_ダート,1,0,0.0
アドヴァイス,1200_芝,9,0,0.0
アナゴサン,1200_芝,1,0,0.0
アナゴサン,1400_芝,2,0,0.0
アナゴサン,1600_芝,5,0,0.0
アナゴサン,1800_芝,1,0,0.0
アナザーエース,1800_ダート,1,0,0.0
アナザーエース,1900_ダート,1,0,0.0
アナスタシス,1000_ダート,1,0,0.0
アナスタシス,1400_ダート,2,0,0.0
アナベルエクラ,1200_芝,1,0,0.0
アナレクタ,1200_ダート,3,0,0.0
アナレクタ,1200_芝,1,0,0.0
アナレンマ,1400_芝,1,0,0.0
アナレンマ,1600_芝,1,0,0.0
アナレンマ,1800_芝,1,0,0.0
アナレンマ,2000_芝,2,0,0.0
アナレンマ,2200_芝,1,0,0.0
アナレンマ,2600_芝,1,0,0.0
アナンシエーション,1800_ダート,3,0,0.0
アニトラ,1200_芝,1,0,0.0
アニトラ,1400_ダート,1,0,0.0
アニトラ,1400_芝,1,0,0.0
アニトラ,1500_芝,1,0,0.0
アニトラ,1600_芝,3,0,0.0
アニトラ,1700_ダート,1,0,0.0
アニトラ,1800_ダート,2,1,0.5
アネゴハダ,1200_ダート,1,0,0.0
アネゴハダ,1200_芝,6,1,0.16666666666666666
アネゴハダ,1400_芝,1,0,0.0
アネモス,1000_ダート,3,0,0.0
アネモス,1150_ダート,1,0,0.0
